Nama Subtes;Kode Soal;Tipe Soal;Teks Soal;Gambar Soal (nama file) (opsional);Opsi A - Teks;Opsi A - Gambar (opsional);Opsi B - Teks;Opsi B - Gambar (opsional);Opsi C - Teks;Opsi C - Gambar (opsional);Opsi D - Teks;Opsi D - Gambar (opsional);Opsi E - Teks (opsional);Opsi E - Gambar (opsional);Kunci Jawaban;Hint (opsional);Pembahasan;Tingkat Kesulitan
;PK-041;;"Pada prisma segitiga ADE.BCF diketahui DA=6 dan jarak titik E ke garis AD=3. Berapa tinggi prisma? Tentukan kecukupan: (1) volume prisma=180; (2) AF=5.";https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhTcVDqh4SImAYlJn8UTCWNcHY630iwXHZKCIUtKZr1xV9UkROPpyUZpmnM7TbderFlWEF8prAh0g0Dc0fujVJVGPS81z2u2uySPDh_CekLkmB42jyOs3X1_iW4gA0LbYWAehGGPRgN32q7tspYTIPUqvcCRt0ITep92n3MZwHhJ4AQuJDZVcyAUF9Jmg/s1600/tps%20utbk%20sbmptn%20prisma%20segitga.jpg;"Pernyataan (1) saja cukup; (2) saja tidak cukup";;"Pernyataan (2) saja cukup; (1) saja tidak cukup";;Keduanya bersama-sama cukup, tetapi masing-masing tidak cukup;;Masing-masing pernyataan sendiri cukup;;Keduanya tidak cukup;;A;Luas alas segitiga ADE dapat dihitung dari DA dan jarak E ke AD.;"Luas alas=1/2×6×3=9. Dengan (1), 180=9×tinggi sehingga tinggi=20; jadi (1) cukup. Informasi AF=5 saja tidak menentukan tinggi prisma karena geometri segitiga/posisi rusuk belum cukup. Maka jawabannya A.";Sulit
;PK-042;;Fungsi kuadrat memiliki nilai minimum ?8 dan memotong sumbu-x di (?1,0) dan (3,0). Jika grafik juga melalui (4,b), nilai b adalah ...;;42;;21;;10;;5;;0;;C;Gunakan bentuk faktor dari dua titik potong, lalu tentukan koefisien dari nilai minimum.;Fungsi dapat ditulis y=a(x+1)(x?3). Sumbu simetri x=1 dan nilai minimum y(1)=?8, sehingga ?4a=?8 ? a=2. Maka b=y(4)=2(5)(1)=10.;Sedang
;PK-043;;Bilangan empat digit a094 kurang dari 6000. Jika bilangan itu dibagi 3 bersisa 1, nilai a adalah ...;;1;;2;;3;;4;;5;;C;Sisa pembagian suatu bilangan oleh 3 sama dengan sisa jumlah digitnya.;Jumlah digit a094 adalah a+13. Syarat (a+13) mod 3 = 1 memberi a mod 3 = 0. Karena a<6 dan digit ribuan bukan 0, pilihan yang sesuai adalah a=3.;Mudah
;PK-044;;Untuk bilangan a094 pada soal sebelumnya, banyak faktor prima berbeda dari bilangan tersebut adalah ...;;2;;3;;4;;5;;6;;C;Dari soal sebelumnya, tentukan dulu nilai a lalu faktorkan bilangannya.;Diperoleh a=3 sehingga bilangannya 3094. Faktorisasi primanya 3094=2×7×13×17. Ada 4 faktor prima berbeda.;Sedang
;PK-045;;Untuk bilangan 3094, banyak faktor positifnya adalah ...;;17;;16;;15;;14;;4;;B;Jika n=p?^a p?^b ... maka banyak faktor positif = (a+1)(b+1)...;3094=2×7×13×17, semua berpangkat 1. Banyak faktor positif=(1+1)^4=16.;Sedang
;PK-046;;"Data b, ?7, 3, ?5. Uji: (1) rata-rata ?5 jika b=?11; (2) median ?6 jika b=?7; (3) modus ?5 jika b=?5; (4) jangkauan 3 jika b=?8. Pilihan yang benar adalah ...";;(1), (2), dan (3) saja yang benar;;(1) dan (3) saja yang benar;;(2) dan (4) saja yang benar;;Hanya (4) yang benar;;Semua pernyataan benar;;A;Hitung ukuran pemusatan dan jangkauan untuk setiap nilai b yang diberikan.;(1) benar: (?11?7+3?5)/4=?5. (2) benar: data ?7,?7,?5,3 memiliki median ?6. (3) benar karena ?5 muncul dua kali. (4) salah karena jangkauan 3?(?8)=11. Jadi (1),(2),(3) saja benar.;Sedang
;PK-047;;"ABCD adalah belah ketupat. Nilai kebenaran: (1) dua pasang sudut berhadapan sama besar; (2) dua pasang sisi sama panjang; (3) kedua diagonal selalu sama panjang.";;Salah-Salah-Salah;;Salah-Salah-Benar;;Salah-Benar-Salah;;Benar-Benar-Salah;;Benar-Benar-Benar;;D;Ingat sifat dasar belah ketupat.;Sudut berhadapan sama besar dan semua sisinya sama panjang. Diagonal belah ketupat saling tegak lurus tetapi tidak harus sama panjang. Jadi Benar-Benar-Salah.;Mudah
;PK-048;;"Tiga bilangan asli berbeda kurang dari 10 dipilih acak. Berapa banyak pernyataan benar? (1) peluang semuanya prima <1/20; (2) semuanya genap <1/25; (3) semuanya ganjil <1/7; (4) jumlah ketiga bilangan <8 memiliki peluang 1/42.";;0;;1;;2;;3;;4;;C;Total cara memilih 3 dari 9 adalah C(9,3)=84. Hitung tiap kejadian dengan kombinasi atau daftar sederhana.;(1) C(4,3)/84=1/21 <1/20, benar. (2) 1/21 tidak <1/25, salah. (3) C(5,3)/84=5/42 <1/7, benar. (4) pasangan {1,2,3} dan {1,2,4}: 2/84=1/42, benar. Jadi 3 pernyataan benar.;Sulit
;PK-049;;Segitiga ABC siku-siku, ?A??B=60°, dan ?C=?. Bandingkan P=? dengan Q=80.;;P lebih besar daripada Q;;P lebih kecil daripada Q;;P sama dengan Q;;Hubungan P dan Q tidak dapat ditentukan;;;;D;Pertimbangkan kemungkinan letak sudut siku-siku.;Jika siku-siku di A, maka B=30° dan C=60° sehingga P<Q. Jika siku-siku di C, ?=90° sehingga P>Q. Karena hasilnya berbeda, hubungan tidak dapat ditentukan.;Sedang
;PK-050;;;;;;;;;;;;;;;;;
;PK-051;;;;;;;;;;;;;;;;;
;PK-052;;;;;;;;;;;;;;;;;
